date,price
2018-01-01,13535.0
2018-01-02,14770.0
2018-01-03,15057.0
2018-01-04,14921.0
2018-01-05,16828.0
2018-01-06,16849.0
2018-01-07,16183.0
2018-01-08,14901.0
2018-01-09,14548.0
2018-01-10,14482.0
2018-01-11,13445.0
2018-01-12,13695.0
2018-01-13,14167.0
2018-01-14,13394.0
2018-01-15,13919.0
2018-01-16,10617.0
2018-01-17,11378.0
2018-01-18,11541.0
2018-01-19,11296.0
2018-01-20,12904.0
2018-01-21,11348.0
2018-01-22,10264.0
2018-01-23,10984.0
2018-01-24,11208.0
2018-01-25,11246.0
2018-01-26,10899.0
2018-01-27,11554.0
2018-01-28,11757.0
2018-01-29,11223.0
2018-01-30,10138.0
2018-01-31,9999.0
2018-02-01,9146.0
2018-02-02,8524.0
2018-02-03,9157.0
2018-02-04,8095.0
2018-02-05,7152.0
2018-02-06,7755.0
2018-02-07,8096.0
2018-02-08,8208.0
2018-02-09,8513.0
2018-02-10,8269.0
2018-02-11,8313.0
2018-02-12,8830.0
2018-02-13,8564.0
2018-02-14,9283.0
2018-02-15,9883.0
2018-02-16,10058.0
2018-02-17,10845.0
2018-02-18,10763.0
2018-02-19,11079.0
2018-02-20,11712.0
2018-02-21,10291.0
2018-02-22,9899.0
2018-02-23,9966.0
2018-02-24,9499.0
2018-02-25,9588.0
2018-02-26,10366.0
2018-02-27,10745.0
2018-02-28,10558.0
2018-03-01,10924.0
2018-03-02,11034.0
2018-03-03,11286.0
2018-03-04,11397.0
2018-03-05,11561.0
2018-03-06,10793.0
2018-03-07,9947.0
2018-03-08,9341.0
2018-03-09,9053.0
2018-03-10,8838.0
2018-03-11,9539.0
2018-03-12,9104.0
2018-03-13,8308.0
2018-03-14,8019.0
2018-03-15,8508.0
2018-03-16,8504.0
2018-03-17,7951.0
2018-03-18,8381.0
2018-03-19,8994.0
2018-03-20,8920.0
2018-03-21,8613.0
2018-03-22,8626.0
2018-03-23,8655.0
2018-03-24,8679.0
2018-03-25,8620.0
2018-03-26,7885.0
2018-03-27,7997.0
2018-03-28,7871.0
2018-03-29,6846.0
2018-03-30,6912.0
2018-03-31,6926.0
2018-04-01,6829.0
2018-04-02,6920.0
2018-04-03,7411.0
2018-04-04,6847.0
